,Title,Published_date,Views,Likes,Comments,Month
62,Which jobs are secure against ChatGPT breakthrough? 🙄,2022-12-23,23430,865,101,Dec
63,Top 8 Python Libraries You Must Know In 2023 For Data Science | Python Modules for Data Science,2022-12-22,36670,1272,40,Dec
64,"End To End Cricket Data Analytics Project Using Web Scraping, Python, Pandas and Power BI",2022-12-16,287159,7425,324,Dec
65,7 Job Options After Learning Python | Python Career Opportunities,2022-12-09,56040,1644,70,Dec
66,Codebasics Reached 700K Subscribers Mark. Thank You All 🙏,2022-12-07,8592,459,17,Dec
67,How important are Excel skills for a Data Career?,2022-11-30,16429,834,13,Nov
68,5 Ways SQL is Used In The Data Industry,2022-11-26,14376,427,15,Nov
69,What Can I Do To Survive Recession? | Impact Of Recession On Data Jobs,2022-11-22,14014,514,27,Nov
70,Future belongs to those...,2022-11-22,37292,2571,23,Nov
71,SQL Course Live Now On Codebasics.io | SQL For Beginner and Advanced Users,2022-11-17,33429,578,78,Nov
72,SQL Course Movie Trailer,2022-11-15,27273,709,88,Nov
73,Get a Data Science Interview Call Using Cold Emailing,2022-11-12,7547,276,10,Nov
74,Resume Project Challenge #2 Winner Announcement: Supply Chain Insights In FMCG Domain,2022-11-10,4983,126,3,Nov
75,"4 Tips For Building Powerful Data Science Projects. Ft. Nick Singh (Ex. Facebook, Google)",2022-11-05,10611,332,13,Nov
76,fastText tutorial | Text Classification Using fastText | NLP Tutorial For Beginners - S2 E13,2022-10-28,15905,514,39,Oct
77,fastText Tutorial | Train Custom Word Vectors in fastText | NLP Tutorial For Beginners - S2 E12,2022-10-22,18477,388,41,Oct
78,Free data analytics project for your resume with FMCG / Supply Chain dataset | Challenge #2,2022-10-12,25163,596,33,Oct
79,News classification using Gensim word vectors: NLP Tutorial For Beginners - S2 E11,2022-10-11,10087,382,35,Oct
80,Resume Project Challenge Winner Announcement: Revenue Insights In Hospitality Domain,2022-10-10,6707,151,6,Oct
81,Word vectors in Gensim overview: NLP Tutorial For Beginners - S2 E10,2022-10-05,10843,381,20,Oct
82,News classification using Spacy word vectors: NLP Tutorial For Beginners - S2 E9,2022-10-01,13201,411,26,Oct
83,Word vectors in Spacy overview: NLP Tutorial For Beginners - S2 E8,2022-09-28,11472,253,12,Sep
84,AI/Ml Career Insights From Google's AI Cloud Solution Services Head - India,2022-09-24,11834,276,15,Sep
85,Free data analytics project for your resume with hospitality dataset | Challenge #1,2022-09-21,20659,589,16,Sep
86,3 Important things to get your resume picked,2022-09-19,6668,285,7,Sep
87,Three excellent websites to practice SQL interview questions 🔥,2022-09-17,16124,975,8,Sep
88,NVIDIA GPU Giveaway | World's Biggest FREE AI Conference - NVIDIA GTC Fall 2022,2022-09-16,5800,186,110,Sep
89,Build a Stand-Out Data Science Project Portfolio With Omdena,2022-09-14,30912,975,35,Sep
90,8 Data Analyst Skills in 2022 | Ironman Style 🔥🔥,2022-09-12,20708,1356,17,Sep
91,6 Power BI Skills To Become A Successful Data Analyst 🔥🔥,2022-09-09,14691,708,7,Sep
92,Text Representation Using Word Embeddings: NLP Tutorial For Beginners - S2 E7,2022-09-08,22021,538,25,Sep
93,Data Analyst Project For Beginners (HR Analytics): 6 - Closing,2022-09-05,23059,434,39,Sep
94,Data Analyst Project For Beginners (HR Analytics): 5 - Dashboarding,2022-09-05,18437,220,24,Sep
95,Data Analyst Project For Beginners (HR Analytics): 4 - Creating Metrics,2022-09-05,20693,221,62,Sep
96,Data Analyst Project For Beginners (HR Analytics): 3 - Data Gathering & Transformation,2022-09-05,40342,496,62,Sep
97,Data Analyst Project For Beginners (HR Analytics): 2 - Understanding Requirements,2022-09-05,36957,477,26,Sep
98,Data Analyst Project For Beginners (HR Analytics): 1 - Problem Statement,2022-09-05,63321,964,34,Sep
99,Codebasics Day: Live Fun Data Quiz With Prizes For Winners,2022-09-05,2627,72,3,Sep
100,Teachers Who Influenced us,2022-09-05,1187,44,3,Sep
101,"Codebasics Day: New Initiative To Help Data Science, Data Analytics Learners",2022-09-05,5978,241,18,Sep
102,Codebasics Day: The Teacher Who Doesn’t Want to Retire,2022-09-05,4501,372,42,Sep
103,"Big Announcement, Live Stream | 5th September - Codebasics Day",2022-09-02,8488,235,33,Sep
104,SQL Interview Questions and Answers Practice | 3 Best Websites,2022-09-01,30913,1389,36,Sep
105,Your First Data Analytics Project,2022-08-30,93562,6636,32,Aug
106,What is Business Intelligence Tool? What is Power BI?,2022-08-27,23605,489,25,Aug
107,Not getting answers for your questions? Try this POWERFUL technique🚀,2022-08-25,5617,368,5,Aug
108,Having a confusion on your career? Try this bottom up approach!,2022-08-20,12766,466,41,Aug
109,Text Representation Using TF-IDF: NLP Tutorial For Beginners - S2 E6,2022-08-17,26192,548,20,Aug
110,Text Representation Using Bag Of n-grams: NLP Tutorial For Beginners - S2 E5,2022-08-13,20531,436,29,Aug
111,Study plan to crack FAANG job interviews | MAANG interview preparation guide,2022-08-06,190843,6613,145,Aug
112,Stop Words: NLP Tutorial For Beginners - S2 E4,2022-08-04,12877,314,20,Aug
113,Pandas Memory Optimization Tips,2022-08-01,5271,245,11,Aug
114,What exactly is insights to space ratio in BI dashboard?,2022-07-27,7192,307,5,Jul
115,Text Representation Using Bag Of Words (BOW): NLP Tutorial For Beginners - S2 E3,2022-07-25,23110,537,29,Jul
116,Data Analytics Live Q&A - 24th July,2022-07-24,8190,267,25,Jul
117,The Learning Resource That Helped People Crack Job Interviews at Meta and Walmart,2022-07-21,8148,215,14,Jul
118,What Learners Think About Codebasics Data Analytics Course?,2022-07-15,8883,221,66,Jul
119,Text Representation: Label & One Hot Encoding: NLP Tutorial For Beginners - S2 E2,2022-07-14,16461,553,24,Jul
120,How to Design an Effective Data Visualization Dashboard?,2022-07-09,55592,658,17,Jul
121,What are the features in machine learning?,2022-07-07,8120,236,16,Jul
122,Resume Tips: Interests and Hobbies Section,2022-07-06,25241,787,8,Jul
123,Data Visualization Tip: Provide a Context,2022-07-04,8019,406,7,Jul
124,Text Representation Basics: NLP Tutorial For Beginners - Season 2 Episode 1,2022-07-01,16351,498,18,Jul
125,Resume Tip: Use STAR Method to Describe Project Experience,2022-06-30,12598,564,4,Jun
126,Deepnote = Jupyter notebook for collaboration 🤝 | Deepnote Tutorial,2022-06-29,8447,200,14,Jun
127,Resume Tip: Concrete Proof Over a Vague Claim,2022-06-27,8833,334,4,Jun
128,Data Visualization Tip: Start Your Chart With ZERO,2022-06-25,24972,1152,13,Jun
129,Data Visualization Tip - What is Ribbon chart?,2022-06-23,18639,873,18,Jun
130,Python Course is LIVE now 🔥🔥🔥,2022-06-21,23847,633,115,Jun
131,Data Visualization Tip - Pie Chart or Bar Chart?,2022-06-15,13743,638,19,Jun
132,Data Analyst & Software Engineer Resume Tips and Templates,2022-06-11,44652,1285,52,Jun
133,Data Analytics Live Q&A,2022-06-05,10413,329,23,Jun
134,Named Entity Recognition (NER): NLP Tutorial For Beginners - S1 E12,2022-06-03,49395,1056,41,Jun
135,A Killer Update In Power BI 🔥,2022-05-31,100431,4004,24,May
136,Data Analytics In Power BI Tutorials For Beginners: The Course is now LIVE 🚀,2022-05-26,56521,1019,167,May
137,Must have skill for exploratory data analysis.,2022-05-21,15979,684,24,May
138,Data science skills 10 years from now!,2022-05-16,21661,1019,41,May
139,Part Of Speech POS Tagging: NLP Tutorial For Beginners - S1 E11,2022-05-14,24886,604,38,May
140,Future of NLP Jobs,2022-05-11,31708,1375,31,May
141,How do I learn the GIT version control system easily?,2022-05-09,13526,603,15,May
142,Stemming and Lemmatization: NLP Tutorial For Beginners - S1 E10,2022-05-07,31243,940,28,May
143,Future of data science jobs,2022-05-05,116441,6391,93,May
144,Do you have a fear of coding? Try this!,2022-05-02,28351,1570,48,May
145,"Preparing Kids For Data Science, AI Career | Don't Spoil Their Childhood!",2022-04-29,82520,1940,213,Apr
146,Language Processing Pipeline in Spacy: NLP Tutorial For Beginners - S1 E9,2022-04-26,25766,832,34,Apr
147,From an Intern to a CEO in 4 years,2022-04-22,11001,295,26,Apr
148,Tokenization in Spacy: NLP Tutorial For Beginners - S1 E8,2022-04-20,37361,1322,36,Apr
149,The New Beginning,2022-04-15,34860,2174,291,Apr
150,The END of the Journey,2022-04-09,65425,3803,583,Apr
151,USA vs Canada For Masters Studies,2022-04-06,62866,1600,164,Apr
152,Spacy vs NLTK: NLP Tutorial For Beginners In Python - S1 E7,2022-04-01,49250,1590,49,Apr
153,How can you find the best career for yourself? Finding your IKIGAI,2022-03-28,21890,786,81,Mar
154,NLP Pipeline: NLP Tutorial For Beginners In Python - S1 E6,2022-03-26,46435,1240,47,Mar
155,NVIDIA GTC & A Giveaway!,2022-03-19,5855,217,46,Mar
156,My YouTube Setup Upgrades,2022-03-17,3664,118,17,Mar
157,The most common mistake by a new programmer!,2022-03-12,16614,833,34,Mar
158,The Great Career Transition Era Has Arrived | You Can Do Anything,2022-03-08,22188,982,81,Mar
159,How to build domain knowledge,2022-03-04,40561,1451,97,Mar
160,What is Metaverse? Metaverse Career Opportunities,2022-02-26,35366,1039,56,Feb
161,Upcoming in-person meetup,2022-02-22,7249,175,20,Feb
162,NLP Tasks: NLP Tutorial For Beginners In Python - S1 E5,2022-02-19,41972,966,41,Feb
163,"Reality behind data science, machine learning jobs",2022-02-16,1223749,58123,426,Feb
164,Business Degree To Data Science At Amazon & Google | Sundas' Inspirational Story @SundasKhalid,2022-02-12,81032,1749,72,Feb
165,Code Monkey Mindset,2022-02-09,16067,827,20,Feb
166,Three Category Of Techniques for NLP : NLP Tutorial For Beginners In Python - S1 E4,2022-02-06,54325,1309,34,Feb
167,Is Python A Slow Language?,2022-02-05,23216,1319,61,Feb
168,Aim Higher | Job Search Advice,2022-02-02,18869,1186,35,Feb
169,Regex For NLP: NLP Tutorial For Beginners In Python - S1 E3,2022-01-29,105209,2491,91,Jan
170,Why NLP is booming right now? | NLP Tutorial For Beginners In Python - S1 E2,2022-01-27,88797,2031,61,Jan
171,Not getting enough time to learn data science? Here is the time savings tip!,2022-01-26,25761,1286,26,Jan
172,Introduction | NLP Tutorial For Beginners In Python  -  Season 1 Episode 1,2022-01-22,215040,4118,143,Jan
173,Codebasics Coding Competition: 💥 𝐂𝐎𝐃𝐄-𝐀-𝐓𝐇𝐎𝐍 💥,2022-01-21,8515,298,18,Jan
174,Data Engineering Interview Tips By Airbnb Data Engineer | Part 2,2022-01-15,26194,720,29,Jan
175,Why I love Python?,2022-01-12,11783,733,35,Jan
176,Data Engineering Career Tips By Airbnb Data Engineer | Part 1,2022-01-09,81426,2297,62,Jan
177,Data Science Masters In USA - Live Q&A,2022-01-02,12299,403,22,Jan
178,Is Auto ML going to kill data science jobs?,2021-12-29,40302,1083,51,Dec
179,Simple explanation of Modified Z Score | Modified Z Score to detect outliers with python code,2021-12-25,19417,518,41,Dec
180,Masters in Physics to Data Scientist Career Transition Story,2021-12-21,26647,985,94,Dec
181,Single tip to make fast progress in your job | Skyrocket your career with this single tip,2021-12-16,13576,584,37,Dec
182,5x your productivity with this single app: Notion | How I use notion to manage my youtube channel,2021-12-10,12885,261,31,Dec
183,Step by step process of thinking like a data analyst | How a data analyst thinks,2021-12-04,36877,1453,98,Dec
184,Regular Expression Tutorial Python | Python Regex Tutorial,2021-12-01,73851,2214,109,Dec
185,"The real importance of a degree in data science, software engineering interview",2021-11-30,61374,2490,41,Nov
186,Common mistakes junior programmers make | Programming tips,2021-11-27,18488,608,48,Nov
187,When you say YES to something you are saying NO to something else.,2021-11-25,13262,436,16,Nov
188,"Live Q&A: Data Science, ML. Ft: Anuj Gupta (Head of Machine Learning @ Vahan Inc, NLP Book Author)",2021-11-20,7460,230,10,Nov
189,Data Science Projects For Resume | Machine Learning Projects With Source Code,2021-11-13,355734,11515,156,Nov
190,Statistics Books For Data Science and Machine Learning,2021-11-10,38808,1064,62,Nov
191,Free datasets for machine learning and data science projects,2021-11-07,18571,697,34,Nov
192,Data Engineer At Grubhub After 6 Years Of Career Break,2021-11-02,19943,509,62,Nov
193,"He won $21,000 in a Live Hacking Event | Bug Bounty",2021-10-28,25550,919,49,Oct
194,Interview Tips With @gkcs​,2021-10-24,9214,259,14,Oct
195,Machine Learning Tutorial Python - 21: Ensemble Learning - Bagging,2021-10-22,62662,1525,85,Oct
196,Machine Learning Tutorial Python - 20: Bias vs Variance In Machine Learning,2021-10-19,51089,1576,61,Oct
197,Lawyer to a Software Engineer At Google,2021-10-16,16491,594,72,Oct
198,NVIDIA GTC 21 & a Giveaway !,2021-10-12,6824,275,220,Oct
199,Machine Learning Tutorial Python - 19: Principal Component Analysis (PCA) with Python Code,2021-10-09,121149,2467,126,Oct
200,Machine Learning Tutorial Python - 18: K nearest neighbors classification with python code,2021-10-06,113370,1861,74,Oct
201,How do I transition from software development to data science?,2021-10-04,14837,481,54,Oct
